id,id_etiqueta,codigo,nombre_visible,prioridad,descripcion,activa,id_subetiqueta_padre,nivel
43,14,ALTAMENTE_INFLAMATORIO,Altamente inflamatorio,1,Altamente inflamatorio,t,,1
44,14,ANTIINFLAMATORIO,Antiinflamatorio,2,Antiinflamatorio,t,,1
45,14,MODERADAMENTE_INFLAMATORIO,Moderadamente inflamatorio,3,Moderadamente inflamatorio,t,,1
46,14,POCO_INFLAMATORIO,Poco inflamatorio,4,Poco inflamatorio,t,,1
47,15,NO_IRRITANTE_USO_CONDICIONADO_SII,No irritante (Uso condicionado SII),1,No irritante (Uso condicionado SII),t,,1
48,15,ALTAMENTE_IRRITANTE,Altamente irritante,2,Altamente irritante,t,,1
49,15,MODERADAMENTE_IRRITANTE,Moderadamente irritante,3,Moderadamente irritante,t,,1
50,15,NO_IRRITANTE,No irritante,4,No irritante,t,,1
51,16,SIN_OMEGA_3_PARA_EVALUAR,Sin Omega 3 para evaluar,1,Sin Omega 3 para evaluar,t,,1
52,16,EXCESO_RELATIVO_DE_OMEGA_6,Exceso relativo de Omega 6,2,Exceso relativo de Omega 6,t,,1
53,16,BALANCE_DE_OMEGAS_FAVORABLE,Balance de omegas favorable,3,Balance de omegas favorable,t,,1
