REGLAS CLINICAS ACTUALES (extraidas de BD)
=========================================

TOTAL REGLAS: 53

CONDICION: GENERAL_REUMATICOS (total=19)
------------------------------------------------------------------------------------------
regla_id=2305 | accion=ELIMINAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:70:Grasas trans elevadas | estricta=True | mensaje=No apta: grasas trans elevadas
regla_id=2386 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:183:Textura suave | estricta=False | mensaje=AIJ: priorizar textura suave
regla_id=2387 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:204:Textura blanda | estricta=False | mensaje=AIJ: priorizar textura blanda
regla_id=2388 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:171:Fácil de consumir | estricta=False | mensaje=AIJ: priorizar facil de consumir
regla_id=2389 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:201:Buena tolerancia digestiva | estricta=False | mensaje=AIJ: priorizar tolerancia digestiva
regla_id=2390 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:209:Densidad energética alta nutritiva | estricta=False | mensaje=AIJ condicional: priorizar densidad energetica nutritiva
regla_id=2391 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:212:Alimento terapeutico nutricional | estricta=False | mensaje=AIJ condicional: priorizar alimento terapeutico nutricional

CONDICION: lupus_eritematoso_sistemico (total=15)
------------------------------------------------------------------------------------------
regla_id=2358 | accion=ELIMINAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:9001:Contiene alfalfa o L-canavanina | estricta=True | mensaje=LES: evitar alfalfa/L-canavanina
regla_id=2359 | accion=DISMINUIR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:83:Riesgo de retención de líquidos | estricta=False | mensaje=LES: disminuir por retencion de liquidos
regla_id=2360 | accion=DISMINUIR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:119:Riesgo moderado de retención | estricta=False | mensaje=LES: disminuir por riesgo moderado de retencion
regla_id=2361 | accion=DISMINUIR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:160:Alto en fósforo | estricta=False | mensaje=LES condicional: disminuir si nefritis/restriccion fosforo
regla_id=2362 | accion=DISMINUIR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:158:Alto en potasio | estricta=False | mensaje=LES condicional: disminuir si nefritis/restriccion potasio
regla_id=2363 | accion=DISMINUIR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:110:Muy alta fuente de proteína | estricta=False | mensaje=LES condicional: disminuir exceso proteico si dano renal
regla_id=2364 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:71:Alta fuente de calcio | estricta=False | mensaje=LES: priorizar salud osea (calcio)
regla_id=2365 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:150:Alta fuente de vitamina D | estricta=False | mensaje=LES: priorizar salud osea (vitamina D alta)
regla_id=2366 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:151:Media fuente de vitamina D | estricta=False | mensaje=LES: priorizar salud osea (vitamina D media)
regla_id=2367 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:95:Equilibrio de líquidos ideal | estricta=False | mensaje=LES: priorizar proteccion cardiorrenal
regla_id=2368 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:157:Bajo índice glucémico | estricta=False | mensaje=LES: priorizar bajo indice glucemico
regla_id=2369 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:194:Energía estable | estricta=False | mensaje=LES: priorizar energia estable
regla_id=2370 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:82:Alto poder antioxidante | estricta=False | mensaje=LES: priorizar antioxidantes
regla_id=2371 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:75:Rico en omega 3 | estricta=False | mensaje=LES: priorizar omega 3
regla_id=2372 | accion=PRIORIZAR | tipo=ETIQUETA NUTRICIONAL | objetivo=ETIQUETA:93:Balance de omegas favorable | estricta=False | mensaje=LES: priorizar balance de omegas

